Preferred Label,Class ID,Parents,has part,Class ID2,,,,,,,,,,,
U12-type prespliceosome,GO:0071015,GO:0071010|GO:0005689,GO:0034693,GO:0071015,,,,,,,,,,,
90S preribosome,GO:0030686,GO:0030684,GO:0034455,GO:0030686,,,,,,,,,,,
small-subunit processome,GO:0032040,GO:0030684|GO:0005730|GO:0140513,GO:0034455,GO:0032040,,,,,,,,,,,
replisome,GO:0030894,GO:0005657|GO:0032993,GO:0033202,GO:0030894,,,,,,,,,,,
SMN-Sm protein complex,GO:0034719,GO:0005737|GO:0120114,GO:0032797,GO:0034719,,,,,,,,,,,
microvillus,GO:0005902,GO:0098858,GO:0032432,GO:0005902,,,,,,,,,,,
stereocilium bundle,GO:0032421,GO:0098862,GO:0032420,GO:0032421,,,,,,,,,,,
INTAC complex,GO:0160232,GO:0140513,GO:0032039,GO:0160232,,,,,,,,,,,
activated SUMO-E1 ligase complex,GO:1990354,GO:0106068|GO:0140513,GO:0031510,GO:1990354,,,,,,,,,,,
cilium,GO:0005929,GO:0120025|GO:0043227,GO:0030990,GO:0005929,,,,,,,,,,,
dendritic tree,GO:0097447,GO:0043005|GO:0036477,GO:0030425,GO:0097447,,,,,,,,,,,
postsynaptic endocytic zone,GO:0098843,GO:0098794|GO:0110165,GO:0030118,GO:0098843,,,,,,,,,,,
eukaryotic 43S preinitiation complex,GO:0016282,GO:0070993,GO:0022627,GO:0016282,,,,,,,,,,,
eukaryotic 48S preinitiation complex,GO:0033290,GO:0070993,GO:0022627,GO:0033290,,,,,,,,,,,
MECO complex,GO:0002929,GO:0032991,GO:0016592,GO:0002929,,,,,,,,,,,
myosin filament,GO:0032982,GO:0099512,GO:0016459,GO:0032982,,,,,,,,,,,
membrane-bounded organelle,GO:0043227,GO:0043226,GO:0016020,GO:0043227,,,,,,,,,,,
asymmetric synapse,GO:0032279,GO:0098984,GO:0014069,GO:0032279,,,,,,,,,,,
dendritic spine head,GO:0044327,GO:0110165|GO:0043197,GO:0014069,GO:0044327,,,,,,,,,,,
ocelloid,GO:0097693,GO:0043231,GO:0009536,GO:0097693,,,,,,,,,,,
cytoplasmic replisome,GO:0043600,GO:0030894|GO:0043597,GO:0009360,GO:0043600,,,,,,,,,,,
nuclear replisome,GO:0043601,GO:0030894|GO:0043596|GO:0140513,GO:0008622,GO:0043601,,,,,,,,,,,
gamma-tubulin ring complex,GO:0000931,GO:0000930,GO:0008275,GO:0000931,,,,,,,,,,,
ciliary shaft,GO:0097544,GO:0005929|GO:0110165,GO:0005930,GO:0097544,,,,,,,,,,,
brush border,GO:0005903,GO:0045177|GO:0098862,GO:0005902,GO:0005903,,,,,,,,,,,
tuft,GO:0151001,GO:0098862,GO:0005902,GO:0151001,,,,,,,,,,,
cell envelope,GO:0030313,GO:0110165,GO:0005886,GO:0030313,,,,,,,,,,,
endomembrane system,GO:0012505,GO:0110165,GO:0005886,GO:0012505,,,,,,,,,,,
unencapsulated part of cell,GO:0097653,GO:0110165,GO:0005886,GO:0097653,,,,,,,,,,,
actin filament bundle,GO:0032432,GO:0015629|GO:0110165,GO:0005884,GO:0032432,,,,,,,,,,,
actin wave,GO:0062201,GO:0015629|GO:0110165,GO:0005884,GO:0062201,,,,,,,,,,,
actin-based cell projection,GO:0098858,GO:0120025,GO:0005884,GO:0098858,,,,,,,,,,,
mating projection actin fusion focus,GO:1990819,GO:0015629|GO:0110165|GO:0043332,GO:0005884,GO:1990819,,,,,,,,,,,
neurofilament cytoskeleton,GO:0060053,GO:0045111,GO:0005883,GO:0060053,,,,,,,,,,,
axoneme,GO:0005930,GO:0005856|GO:0097014|GO:0110165,GO:0005874,GO:0005930,,,,,,,,,,,
ciliary microtubule quartet,GO:0120260,GO:0005929|GO:0005856|GO:0110165,GO:0005874,GO:0120260,,,,,,,,,,,
median body,GO:0097568,GO:0005856|GO:0110165,GO:0005874,GO:0097568,,,,,,,,,,,
microtubule bundle,GO:0097427,GO:0005856|GO:0110165,GO:0005874,GO:0097427,,,,,,,,,,,
ventral disc microtubule array,GO:0097593,GO:0097597|GO:0110165,GO:0005874,GO:0097593,,,,,,,,,,,
ventral disc supernumerary microtubule array,GO:0097596,GO:0097597|GO:0110165,GO:0005874,GO:0097596,,,,,,,,,,,
striated muscle myosin thick filament,GO:0005863,GO:0032982|GO:0036379|GO:0030017,GO:0005859,GO:0005863,,,,,,,,,,,
zona pellucida receptor complex,GO:0002199,GO:0032991,GO:0005832,GO:0002199,,,,,,,,,,,
centrosome,GO:0005813,GO:0005815,GO:0005814,GO:0005813,,,,,,,,,,,
endoplasmic reticulum Sec complex,GO:0031205,GO:0140534|GO:0098796|GO:0030867,GO:0005784,GO:0031205,,,,,,,,,,,
mitochondrion-associated adherens complex,GO:0097423,GO:0110165,GO:0005739,GO:0097423,,,,,,,,,,,
U12-type precatalytic spliceosome,GO:0071016,GO:0071011|GO:0005689,GO:0005692,GO:0071016,,,,,,,,,,,
U12-type catalytic step 1 spliceosome,GO:0071017,GO:0071012|GO:0005689,GO:0005691,GO:0071017,,,,,,,,,,,
U12-type catalytic step 2 spliceosome,GO:0071018,GO:0071013|GO:0005689,GO:0005691,GO:0071018,,,,,,,,,,,
U12-type post-mRNA release spliceosomal complex,GO:0071019,GO:0071014|GO:0005689,GO:0005691,GO:0071019,,,,,,,,,,,
U12-type post-spliceosomal complex,GO:0071022,GO:0005689|GO:0071020,GO:0005691,GO:0071022,,,,,,,,,,,
U4atac/U6atac snRNP,GO:0071002,GO:0097525,GO:0005691,GO:0071002,,,,,,,,,,,
trans spliceosomal complex,GO:0071023,GO:0005681,GO:0005688,GO:0071023,,,,,,,,,,,
U2-type catalytic step 1 spliceosome,GO:0071006,GO:0071012|GO:0005684,GO:0005688,GO:0071006,,,,,,,,,,,
U2-type catalytic step 2 spliceosome,GO:0071007,GO:0071013|GO:0005684,GO:0005688,GO:0071007,,,,,,,,,,,
U2-type post-mRNA release spliceosomal complex,GO:0071008,GO:0071014|GO:0005684,GO:0005688,GO:0071008,,,,,,,,,,,
U2-type post-spliceosomal complex,GO:0071021,GO:0005684|GO:0071020,GO:0005688,GO:0071021,,,,,,,,,,,
U4/U6 snRNP,GO:0071001,GO:0097525,GO:0005688,GO:0071001,,,,,,,,,,,
commitment complex,GO:0000243,GO:0005684,GO:0005685,GO:0000243,,,,,,,,,,,
penta-snRNP complex,GO:0071003,GO:0097525,GO:0005685,GO:0071003,,,,,,,,,,,
U2-type precatalytic spliceosome,GO:0071005,GO:0071011|GO:0005684,GO:0005685,GO:0071005,,,,,,,,,,,
U2-type prespliceosome,GO:0071004,GO:0071010|GO:0005684,GO:0005685,GO:0071004,,,,,,,,,,,
post-mRNA release spliceosomal complex,GO:0071014,GO:0005681,GO:0005682,GO:0071014,,,,,,,,,,,
post-spliceosomal complex,GO:0071020,GO:0005681,GO:0005682,GO:0071020,,,,,,,,,,,
U4/U6 x U5 tri-snRNP complex,GO:0046540,GO:0097526,GO:0005682,GO:0046540,,,,,,,,,,,
U4atac/U6atac x U5 tri-snRNP complex,GO:0071009,GO:0097526,GO:0005682,GO:0071009,,,,,,,,,,,
DNA replication preinitiation complex,GO:0031261,GO:0005654|GO:0032993|GO:0140513,GO:0005656,GO:0031261,,,,,,,,,,,
complex of collagen trimers,GO:0098644,GO:0099080|GO:0031012,GO:0005581,GO:0098644,,,,,,,,,,,
9+2 motile cilium,GO:0097729,GO:0031514,GO:0001534,GO:0097729,,,,,,,,,,,
kinocilium,GO:0060091,GO:0097732|GO:0043005|GO:0043226|GO:0032421,GO:0001534,GO:0060091,,,,,,,,,,,
catalytic step 1 spliceosome,GO:0071012,GO:0005681|GO:1902494,GO:0000974,GO:0071012,,,,,,,,,,,
catalytic step 2 spliceosome,GO:0071013,GO:0005681|GO:1902494,GO:0000974,GO:0071013,,,,,,,,,,,
post-anaphase microtubule array,GO:1990295,GO:0015630|GO:0110165,GO:0000923,GO:1990295,,,,,,,,,,,
CMG complex,GO:0071162,GO:0000228|GO:0031261,GO:0000811,GO:0071162,,,,,,,,,,,
nuclear pre-replicative complex,GO:0005656,GO:0005654|GO:0036387|GO:0140513,GO:0000808,GO:0005656,,,,,,,,,,,
nucleotide-excision repair factor 3 complex,GO:0000112,GO:0000109,GO:0000439,GO:0000112,,,,,,,,,,,
transcription factor TFIIH holo complex,GO:0005675,GO:0016591|GO:0032806|GO:0090575|GO:0019908,GO:0000439,GO:0005675,,,,,,,,,,,
nuclear exosome focus,GO:1990251,GO:0016604,GO:0000176,GO:1990251,,,,,,,,,,,
[Ni-Fe] hydrogenase complex,GO:0044569,GO:1902494,,GO:0044569,,,,,,,,,,,
1-alkyl-2-acetylglycerophosphocholine esterase complex,GO:0008247,GO:1902494,,GO:0008247,,,,,,,,,,,
"1,3-beta-D-glucan synthase complex",GO:0000148,GO:1990234,,GO:0000148,,,,,,,,,,,
2-(3-amino-3-carboxypropyl)histidine synthase complex,GO:0120513,GO:1990234,,GO:0120513,,,,,,,,,,,
2-iminoacetate synthase complex,GO:1902508,GO:1902494,,GO:1902508,,,,,,,,,,,
2-micrometer circle DNA,GO:0005729,GO:0005727,,GO:0005729,,,,,,,,,,,
3-isopropylmalate dehydratase complex,GO:0009316,GO:1902494|GO:0005829,,GO:0009316,,,,,,,,,,,
3-phenylpropionate dioxygenase complex,GO:0009334,GO:1990204,,GO:0009334,,,,,,,,,,,
3M complex,GO:1990393,GO:0032991,,GO:1990393,,,,,,,,,,,
4-aminobutyrate transaminase complex,GO:0032144,GO:0140535|GO:1990234,,GO:0032144,,,,,,,,,,,
5-lipoxygenase complex,GO:0002180,GO:0098796|GO:0031965|GO:1990204|GO:0140513,,GO:0002180,,,,,,,,,,,
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex",GO:0043540,GO:0061695|GO:0005829,,GO:0043540,,,,,,,,,,,
6-phosphofructokinase complex,GO:0005945,GO:0061695|GO:0005829,,GO:0005945,,,,,,,,,,,
"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase complex",GO:0044673,GO:1902494,,GO:0044673,,,,,,,,,,,
7SK snRNP,GO:0120259,GO:0030532,,GO:0120259,,,,,,,,,,,
9+0 non-motile cilium,GO:0097731,GO:0097730,,GO:0097731,,,,,,,,,,,
A axonemal microtubule,GO:0097649,GO:0097545|GO:0005879,,GO:0097649,,,,,,,,,,,
A band,GO:0031672,GO:0110165|GO:0030017,,GO:0031672,,,,,,,,,,,
ABIN2-NFKB1-MAP3K8 complex,GO:0034977,GO:1902554|GO:0140535,,GO:0034977,,,,,,,,,,,
accessory outer segment,GO:1990906,GO:0043005,,GO:1990906,,,,,,,,,,,
acetate CoA-transferase complex,GO:0009329,GO:0009317|GO:1990234,,GO:0009329,,,,,,,,,,,
acetolactate synthase complex,GO:0005948,GO:0005737|GO:1990234,,GO:0005948,,,,,,,,,,,
acetyl-CoA carboxylase complex,GO:0009317,GO:0005737|GO:1902494,,GO:0009317,,,,,,,,,,,
acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase complex,GO:0044672,GO:1902494,,GO:0044672,,,,,,,,,,,
acetylcholine-gated channel complex,GO:0005892,GO:0034702|GO:0098802,,GO:0005892,,,,,,,,,,,
acetyltransferase complex,GO:1902493,GO:1990234,,GO:1902493,,,,,,,,,,,
ACF complex,GO:0016590,GO:0031010,,GO:0016590,,,,,,,,,,,
acid phosphatase complex,GO:1904097,GO:1903293,,GO:1904097,,,,,,,,,,,
acidocalcisome,GO:0020022,GO:0005737|GO:0043231,,GO:0020022,,,,,,,,,,,
acidocalcisome lumen,GO:0033985,GO:0020022|GO:0070013,,GO:0033985,,,,,,,,,,,
acidocalcisome membrane,GO:0033102,GO:0020022|GO:0098588,,GO:0033102,,,,,,,,,,,
acroblast,GO:0036063,GO:0110165|GO:0005794,,GO:0036063,,,,,,,,,,,
acrosomal lumen,GO:0043160,GO:0001669|GO:0043202|GO:0034774,,GO:0043160,,,,,,,,,,,
acrosomal matrix,GO:0043159,GO:0001669|GO:0005773|GO:0110165,,GO:0043159,,,,,,,,,,,
acrosomal membrane,GO:0002080,GO:0001669|GO:0030667,,GO:0002080,,,,,,,,,,,
acrosomal vesicle,GO:0001669,GO:0030141,,GO:0001669,,,,,,,,,,,
actin body,GO:0099079,GO:0015629|GO:0110165,,GO:0099079,,,,,,,,,,,
actin cap,GO:0030478,GO:0110165|GO:0030864,,GO:0030478,,,,,,,,,,,
actin capping protein of dynactin complex,GO:0005870,GO:0005869|GO:0008290,,GO:0005870,,,,,,,,,,,
actin cortical patch,GO:0030479,GO:0061645|GO:0030864,,GO:0030479,,,,,,,,,,,
actin cytoskeleton,GO:0015629,GO:0005856,,GO:0015629,,,,,,,,,,,
actin cytoskeleton of dendritic spine,GO:0098938,GO:0015629|GO:0098836|GO:0098871,,GO:0098938,,,,,,,,,,,
actin cytoskeleton-regulatory complex,GO:1990964,GO:0032991,,GO:1990964,,,,,,,,,,,
actin filament,GO:0005884,GO:0015629|GO:0099513,,GO:0005884,,,,,,,,,,,
actin filament branch point,GO:0061834,GO:0005884|GO:0110165,,GO:0061834,,,,,,,,,,,
actin filament bundle of actin-based cell projection,GO:0098859,GO:0097518|GO:0098858,,GO:0098859,,,,,,,,,,,
actin filament bundle of filopodium,GO:0098861,GO:0097518|GO:0030175|GO:0098859,,GO:0098861,,,,,,,,,,,
