organelle,cluster
ocelloid,4
acidocalcisome,1
anammoxosome,1
attachment organe,1
cis-Golgi network,2
endoplasmic reticulum,3
endoplasmic reticulum-Golgi intermediate compartment,5
endosperm protein body,1
ER body,1
exoneme,1
eyespot apparat,1
Golgi apparatus,3
hydrogenosome,1
intracellular vesicle,4
karyomere,1
methane-oxidizing organelle,1
microbody,1
microneme,1
mitochondrial derivative,1
mitochondrion,0
mitosome,1
mononeme,1
nucleomorph,4
nucleus,0
omegasome,4
pirellulosome,1
plastid,1
platelet dense tubular network,4
polyhydroxyalkanoate granule,1
subsynaptic reticulum,4
vacuole,1
